,year,theme,qid_key,qid,qheader,qsub,socio_group,group_,response,num,denom,percent_,Quality,ObjectId
493,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,University certificate,No,354400.0,422900,83.80231733270277,Good,494
496,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,University certificate,No,333400.0,405200,82.28035538005923,Good,497
498,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Racial identity,Racialized,No,212000.0,284900,74.41207441207442,Good,499
500,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Racial identity,Racialized,No,266800.0,326900,81.61517283572958,Good,501
546,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Sex,Female,No,19100.0,21100,90.52132701421802,Good,547
549,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Sexual orientation,Heterosexual,No,11700.0,12700,92.1259842519685,Good,550
553,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,High school diploma or a equivalency certificate,No,7800.0,8600,90.69767441860465,Good,554
556,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,Less than high school diploma or its equivalent,No,5400.0,6200,87.09677419354838,Good,557
559,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Sex,Male,No,18100.0,20100,90.04975124378109,Good,560
561,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Racial identity,Non-racialized,No,25800.0,27900,92.47311827956989,Good,562
565,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,,Total,No,37200.0,41400,89.85507246376811,Good,566
569,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",No,6100.0,7800,78.2051282051282,Good,570
570,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,University certificate,No,14300.0,14600,97.94520547945206,Good,571
572,2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Racial identity,Racialized,No,11000.0,13100,83.96946564885496,Good,573
678,2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Sex,Female,No,17000.0,21100,80.56872037914692,Good,679
680,2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Sexual orientation,Heterosexual,No,10200.0,12700,80.31496062992126,Good,681
682,2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Education,High school diploma or a equivalency certificate,No,5600.0,8600,65.11627906976744,Good,683
684,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Sex,Female,Yes,43300.0,532200,8.136039083051484,Good,685
685,2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Sex,Male,No,16300.0,20100,81.09452736318407,Good,686
687,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Sexual orientation,Heterosexual,Yes,29900.0,388600,7.694287184765826,Good,688
688,2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Racial identity,Non-racialized,No,20100.0,27900,72.04301075268818,Good,689
690,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Education,High school diploma or a equivalency certificate,Yes,17100.0,187600,9.115138592750533,Good,691
691,2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,,Total,No,33400.0,41300,80.87167070217917,Good,692
692,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Education,Less than high school diploma or its equivalent,Yes,12700.0,84200,15.08313539192399,Good,693
693,2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",No,5800.0,7700,75.32467532467533,Good,694
694,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Sex,Male,Yes,48100.0,524100,9.177637855371113,Good,695
695,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Racial identity,Non-racialized,Yes,66100.0,761000,8.685939553219448,Good,696
696,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,,Total,Yes,91600.0,1057400,8.66275770758464,Good,697
697,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Yes,15600.0,200400,7.784431137724551,Good,698
698,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Education,University certificate,Yes,34800.0,405200,8.588351431391905,Good,699
699,2018,Housing quality & needs,53,47,"Does any member of your household have a physical or mental disability, condition or illness that makes it necessary to have adaptations to your dwelling?",,Racial identity,Racialized,Yes,25100.0,285000,8.807017543859649,Good,700
700,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Sex,Female,Yes,22200.0,43300,51.27020785219399,Good,701
701,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Sexual orientation,Heterosexual,Yes,17200.0,29900,57.52508361204013,Good,702
702,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Education,High school diploma or a equivalency certificate,Yes,8500.0,17100,49.707602339181285,Good,703
703,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Sex,Male,Yes,28000.0,48100,58.21205821205822,Good,704
704,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Racial identity,Non-racialized,Yes,38200.0,66100,57.791225416036305,Good,705
705,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,,Total,Yes,50200.0,91600,54.80349344978166,Good,706
706,2018,Housing quality & needs,54,48,Does your dwelling have all the adaptations that  your household needs?,,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Yes,7800.0,15600,50.0,Good,707
707,2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Education,University certificate,No,12400.0,14600,84.93150684931507,Good,708
708,2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Racial identity,Racialized,No,12900.0,13000,99.23076923076923,Good,709
716,2018,Housing quality & needs,60,54,Why does your dwelling not have all the adaptations your household needs?,Other,,Total,Yes,6700.0,41300,16.222760290556902,Good,717
722,2018,Housing quality & needs,60,54,Why does your dwelling not have all the adaptations your household needs?,Other,Sex,Female,No,18100.0,21100,85.78199052132702,Good,723
723,2018,Housing quality & needs,60,54,Why does your dwelling not have all the adaptations your household needs?,Other,Sexual orientation,Heterosexual,No,10700.0,12700,84.25196850393701,Good,724
724,2018,Housing quality & needs,60,54,Why does your dwelling not have all the adaptations your household needs?,Other,Education,High school diploma or a equivalency certificate,No,8000.0,8600,93.02325581395348,Good,725
725,2018,Housing quality & needs,60,54,Why does your dwelling not have all the adaptations your household needs?,Other,Sex,Male,No,16400.0,20100,81.59203980099502,Good,726
726,2018,Housing quality & needs,60,54,Why does your dwelling not have all the adaptations your household needs?,Other,Racial identity,Non-racialized,No,23800.0,27900,85.30465949820788,Good,727
727,2018,Housing quality & needs,60,54,Why does your dwelling not have all the adaptations your household needs?,Other,,Total,No,34600.0,41300,83.7772397094431,Good,728
728,2018,Housing quality & needs,60,54,Why does your dwelling not have all the adaptations your household needs?,Other,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",No,7100.0,7700,92.20779220779221,Good,729
729,2018,Housing quality & needs,60,54,Why does your dwelling not have all the adaptations your household needs?,Other,Education,University certificate,No,12100.0,14600,82.87671232876713,Good,730
730,2018,Housing quality & needs,60,54,Why does your dwelling not have all the adaptations your household needs?,Other,Racial identity,Racialized,No,10400.0,13000,80.0,Good,731
734,2018,Housing quality & needs,15,11,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Sex,Female,Yes,31100.0,532300,5.842569979334962,Good,735
735,2021,Housing quality & needs,15,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Sex,Female,Yes,38300.0,550000,6.963636363636364,Good,736
736,2018,Housing quality & needs,15,11,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Sexual orientation,Heterosexual,Yes,16100.0,388600,4.143077714873907,Good,737
737,2021,Housing quality & needs,15,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Sexual orientation,Heterosexual,Yes,20900.0,402200,5.196419691695674,Good,738
738,2018,Housing quality & needs,15,11,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Education,High school diploma or a equivalency certificate,Yes,9300.0,187500,4.96,Good,739
739,2021,Housing quality & needs,15,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Education,High school diploma or a equivalency certificate,Yes,23000.0,207800,11.068334937439845,Good,740
740,2021,Housing quality & needs,15,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Education,Less than high school diploma or its equivalent,Yes,9900.0,87500,11.314285714285715,Good,741
741,2018,Housing quality & needs,15,11,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Sex,Male,Yes,27900.0,524100,5.323411562678878,Good,742
742,2021,Housing quality & needs,15,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Sex,Male,Yes,37200.0,543600,6.843267108167771,Good,743
743,2018,Housing quality & needs,15,11,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Racial identity,Non-racialized,Yes,35600.0,761100,4.677440546577323,Good,744
744,2021,Housing quality & needs,15,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Racial identity,Non-racialized,Yes,44200.0,765100,5.777022611423344,Good,745
745,2021,Housing quality & needs,15,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Overall,Total,Yes,75500.0,1093500,6.9044352994970275,Good,746
746,2018,Housing quality & needs,15,11,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,,Total,Yes,59200.0,1057400,5.598638169094004,Good,747
747,2021,Housing quality & needs,15,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Yes,12300.0,199600,6.162324649298597,Good,748
748,2018,Housing quality & needs,15,11,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Yes,13500.0,200400,6.736526946107785,Good,749
749,2021,Housing quality & needs,15,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Education,University certificate,Yes,15100.0,422900,3.5705840624261054,Good,750
756,2018,Housing quality & needs,59,53,Why does your dwelling not have all the adaptations your household needs?,Don't know how to go about getting it done,,Total,Yes,5700.0,41300,13.801452784503631,Good,757
761,2018,Housing quality & needs,59,53,Why does your dwelling not have all the adaptations your household needs?,Don't know how to go about getting it done,Sex,Female,No,18300.0,21100,86.7298578199052,Good,762
762,2018,Housing quality & needs,59,53,Why does your dwelling not have all the adaptations your household needs?,Don't know how to go about getting it done,Sexual orientation,Heterosexual,No,10200.0,12700,80.31496062992126,Good,763
763,2018,Housing quality & needs,59,53,Why does your dwelling not have all the adaptations your household needs?,Don't know how to go about getting it done,Education,High school diploma or a equivalency certificate,No,6200.0,8600,72.09302325581395,Good,764
764,2018,Housing quality & needs,59,53,Why does your dwelling not have all the adaptations your household needs?,Don't know how to go about getting it done,Education,Less than high school diploma or its equivalent,No,5700.0,6100,93.44262295081968,Good,765
765,2018,Housing quality & needs,59,53,Why does your dwelling not have all the adaptations your household needs?,Don't know how to go about getting it done,Sex,Male,No,17300.0,20100,86.06965174129353,Good,766
766,2018,Housing quality & needs,59,53,Why does your dwelling not have all the adaptations your household needs?,Don't know how to go about getting it done,Racial identity,Non-racialized,No,24000.0,27900,86.02150537634408,Good,767
767,2018,Housing quality & needs,59,53,Why does your dwelling not have all the adaptations your household needs?,Don't know how to go about getting it done,,Total,No,35600.0,41300,86.19854721549636,Good,768
768,2018,Housing quality & needs,59,53,Why does your dwelling not have all the adaptations your household needs?,Don't know how to go about getting it done,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",No,6600.0,7700,85.71428571428571,Good,769
769,2018,Housing quality & needs,59,53,Why does your dwelling not have all the adaptations your household needs?,Don't know how to go about getting it done,Education,University certificate,No,13400.0,14600,91.78082191780823,Good,770
770,2018,Housing quality & needs,59,53,Why does your dwelling not have all the adaptations your household needs?,Don't know how to go about getting it done,Racial identity,Racialized,No,11200.0,13000,86.15384615384616,Good,771
772,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sexual orientation,LGBTQ2S+,Yes,6900.0,19800,34.84848484848485,Good,773
773,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sex,Female,Yes,105000.0,532300,19.72571857974826,Good,774
774,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sex,Female,Yes,103400.0,550000,18.8,Good,775
775,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sexual orientation,Heterosexual,Yes,67300.0,388600,17.318579516212044,Good,776
776,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sexual orientation,Heterosexual,Yes,69500.0,402200,17.27996021879662,Good,777
777,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,High school diploma or a equivalency certificate,Yes,33600.0,187500,17.919999999999998,Good,778
778,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,High school diploma or a equivalency certificate,Yes,41000.0,207800,19.73051010587103,Good,779
779,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,Less than high school diploma or its equivalent,Yes,21100.0,84100,25.089179548156952,Good,780
780,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,Less than high school diploma or its equivalent,Yes,15800.0,87500,18.057142857142857,Good,781
781,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sex,Male,Yes,95800.0,524100,18.278954398015646,Good,782
782,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sex,Male,Yes,99600.0,543600,18.322295805739515,Good,783
783,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Racial identity,Non-racialized,Yes,129900.0,761100,17.0674024438313,Good,784
784,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Racial identity,Non-racialized,Yes,142800.0,765100,18.664226898444646,Good,785
785,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Overall,Total,Yes,203000.0,1093500,18.56424325560128,Good,786
786,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,,Total,Yes,201300.0,1057400,19.037261206733497,Good,787
787,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Yes,35800.0,199600,17.935871743486974,Good,788
788,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Yes,34900.0,200400,17.415169660678643,Good,789
789,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,University certificate,Yes,68300.0,422900,16.15039016315914,Good,790
790,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,University certificate,Yes,71700.0,405200,17.694965449160907,Good,791
791,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Racial identity,Racialized,Yes,69100.0,284900,24.254124254124253,Good,792
792,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Racial identity,Racialized,Yes,60100.0,326900,18.38482716427042,Good,793
793,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sexual orientation,LGBTQ2S+,No,12600.0,19800,63.63636363636363,Good,794
794,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sexual orientation,LGBTQ2S+,No,18000.0,23500,76.59574468085107,Good,795
795,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sex,Female,No,423600.0,532300,79.5791846702987,Good,796
796,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sex,Female,No,446100.0,550000,81.10909090909091,Good,797
797,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sexual orientation,Heterosexual,No,318700.0,388600,82.01235203293875,Good,798
798,2021,Housing quality & needs,16,13,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Sexual orientation,Heterosexual,No,332300.0,402200,82.62058677274987,Good,799
799,2018,Housing quality & needs,16,12,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Infestations of unwanted pests,Education,High school diploma or a equivalency certificate,No,154000.0,187500,82.13333333333334,Good,800
800,2018,Housing quality & needs,15,11,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Education,University certificate,Yes,19300.0,405200,4.763079960513326,Good,801
801,2018,Housing quality & needs,15,11,"In the past 12 months, have you experienced any of the following issues in your dwelling?",Patches of mould or mildew larger than one square metre,Racial identity,Racialized,Yes,22300.0,284900,7.827307827307828,Good,802
